This is Ipopt version 3.14.11, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    76153
Number of nonzeros in inequality constraint Jacobian.:      602
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      301
                     variables with only lower bounds:      100
                variables with lower and upper bounds:       51
                     variables with only upper bounds:        0
Total number of equality constraints.................:      253
Total number of inequality constraints...............:        2
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  86  6.3857355e+00 5.72e+04 3.21e+00  -3.5 1.07e-01    -  1.00e+00 1.00e+00h  1
  87  6.4009905e+00 7.51e+03 3.18e+00  -3.9 3.03e-01    -  6.16e-01 1.00e+00H  1
  88  6.3933936e+00 4.77e+04 3.30e+00  -3.8 1.28e-01    -  1.00e+00 1.00e+00h  1
  89  6.3862121e+00 6.94e+04 2.36e+00  -3.8 2.83e-01    -  5.16e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  6.3949384e+00 2.16e+04 1.26e+00  -3.8 6.58e-01    -  1.00e+00 6.89e-01h  1
  91  6.3964932e+00 8.50e+03 2.67e+00  -3.8 4.52e-01    -  3.43e-01 1.00e+00h  1
  92  6.4186946e+00 8.70e+02 4.33e+00  -3.8 3.10e-01    -  1.00e+00 1.00e+00H  1
  93  6.3943153e+00 4.22e+04 2.69e+00  -3.8 2.67e-01    -  1.00e+00 1.00e+00h  1
  94  6.3184811e+00 2.94e+05 3.25e+00  -3.8 1.86e+00    -  9.41e-02 2.12e-01h  1
  95  6.3799939e+00 1.33e+05 3.19e+00  -3.6 4.24e-01    -  1.00e+00 1.00e+00h  1
  96  6.3642346e+00 2.28e+05 2.54e+00  -3.3 5.47e-01    -  1.00e+00 1.00e+00h  1
  97  6.3632055e+00 9.97e+04 2.86e+00  -3.0 7.48e-01    -  1.00e+00 1.00e+00h  1
  98  6.3749099e+00 4.39e+04 2.23e+00  -2.6 1.40e+00    -  9.55e-01 5.60e-01h  1
  99  6.3861144e+00 1.05e+05 3.07e+00  -3.4 1.32e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  6.3888670e+00 5.91e+04 3.29e+00  -3.5 8.52e-02    -  9.81e-01 1.00e+00h  1
 101  6.3838832e+00 5.60e+04 2.91e+00  -3.5 5.57e-01    -  1.00e+00 1.00e+00h  1
 102  6.3832469e+00 9.88e+04 3.88e+00  -3.9 7.93e-02    -  1.00e+00 1.00e+00h  1
 103  6.3913084e+00 2.43e+04 2.04e+00  -4.0 8.18e-02    -  1.00e+00 1.00e+00h  1
 104  6.3811771e+00 5.45e+04 2.91e+00  -2.8 2.75e+00    -  1.00e+00 2.83e-01h  1
 105  6.3902758e+00 2.58e+04 2.02e+00  -3.1 2.97e-01    -  1.00e+00 1.00e+00h  1
 106  6.3922427e+00 1.72e+04 2.66e+00  -3.9 1.07e-01    -  1.00e+00 1.00e+00h  1
 107  6.3916213e+00 1.07e+04 2.61e+00  -4.7 2.09e-02    -  1.00e+00 1.00e+00h  1
 108  6.3923973e+00 8.08e+03 1.70e+00  -5.1 1.19e-01    -  1.00e+00 1.00e+00h  1
